"name","desc"
"Hermès Tie","Men's dark pink, tan and multicolor Hermès silk necktie with frog and cow motif."
"Hermès Vintage patterned tie","Red and blue silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit."
"Hermès Tie","Men's blue Hermès silk printed necktie."
"Hermès Tie","Men's blue and multicolor Hermès woven printed silk tie with flower and bird design throughout."
"Hermès Tie","Men's light blue, grey and ice blue Hermès silk necktie with chain motif."
"Hermès Tie","Men's green, plum and brown Hermès silk tie with rabbit motif."
"Hermès Tie","Men's red and multicolor Hermès silk printed tie with logo at end."
"Hermès Vintage logo print tie","Black and white silk logo print tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag at the rear. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Tie","Men's red and multicolor Hermès silk tie with paisley print."
"Hermès Tie","Men's steel blue, aqua and multicolor Hermès silk necktie with fish motif."
"Hermès Tie","Men's yellow and multicolor Hermès silk printed tie with logo at end."
"Hermès Vintage patterned tie","Blue silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size."
"Hermès Tie","Men's orange Hermès silk printed necktie."
"Hermès Tie","Men's burgundy and multicolor Hermès silk printed tie with logo at end."
"Hermès Tie","Men's red and multicolor Hermès silk tie with night owl motif and logo at end."
"Hermès Tie","Men's red and multicolor Hermès silk tie with star motif and logo at end."
"Hermès Vintage logo jacquard tie","Brown silk logo jacquard tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag at the rear. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Tie","Men's navy blue, red and white silk Hermès tie with buckle motif."
"Hermès Tie","Men's red Hermès silk moon and star print tie."
"Hermès Tie","Men's Tan silk printed tie."
"Hermès Tie","Men's navy, red and multicolor Hermès silk necktie with animal motif."
"Hermès Tie","Men's red, yellow and navy Hermès silk necktie with horsebit motif."
"Hermès Tie","Men's slate Hermès silk printed necktie."
"Hermès Tie","Men's red Hermès silk print tie."
"Hermès Tie","Men's crimson, silver-tone and black Hermès silk necktie with turtle motif throughout."
"Hermès Tie","Men's red, tan and multicolor Hermès silk necktie with logging motif."
"Hermès Tie","Men's light pink, light blue and light yellow Hermès silk necktie with H motif."
"Hermès Vintage ship print tie","Red silk ship print tie from Hermès Vintage circa 1990 featuring a pointed tip and a front logo patch to the rear. Please note that vintage items are not new and therefore might have minor imperfections."
"Hermès Vintage patterned tie","Red and white silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit."
"Hermès Tie","Men's crimson Hermès silk print tie."
"Hermès Silk Tie","Men's brown and multicolor Hermès silk tie with drum motif."
"Hermès Silk Tie","Men's green and red Hermès silk tie with horse motif and logo at end."
"Hermès Tie","Men's red and multicolor Hermès silk necktie with harvest motif."
"Hermès Tie","Men's dark pink, grey and black Hermès silk necktie with chain design."
"Hermès Tie","Men's light pink Hermès silk horse print tie."
"Hermès Vintage checked tie","1980's black silk tie from Hermès featuring a monochrome checked design and a logo patch. Please note that vintage items are not new but often between 20 and 50 years old, and therefore will always have minor imperfections, even when the items have been used and worn with love and care."
"Hermès Vintage purple patterned tie","Purple silk purple patterned 90s tie from Hermès Vintage featuring a pointed tip and a branded rear patch. Please note that vintage items are not new and therefore might have minor imperfections."
